"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"r",1,2.31056119997994,4.04662068322288
3,"r",2,1.85123749467927,3.69167488857668
4,"r",3,1.6022756991941,3.4971799084565
5,"I",4,1.99520642130561,3.52749389495876
6,"r",5,3.50041513593867,4.53741059287168
7,"I",6,1.72666238926198,3.62955997050741
8,"IV",5,4.20245634664212,3.60011440244069
9,"I",4,1.65818837969468,4.28128570878407
10,"I",5,2.58541128968843,4.16961317545498
11,"r",6,4.19747710671398,3.43336083027324
12,"I",5,1.97066305672787,3.31242273687828
13,"IV",6,2.01682704338694,3.90535556008162
14,"I",6,1.43819732220361,4.07205089360021
15,"I",6,1.60810300532942,3.75089470521539
16,"r",6,4.19747710671398,3.43336083027324
17,"I",5,1.97066305672787,3.31242273687828
18,"IV",6,2.01682704338694,3.90535556008162
19,"I",6,1.43819732220361,4.07205089360021
20,"I",6,1.60810300532942,3.75089470521539
21,"r",6,4.19747710671398,3.43336083027324
22,"IV",5,4.67580471750933,3.31242273687828
23,"V",4,5.02436938095069,3.92749418619764
24,"V",3,4.94123359826136,4.40472145953173
25,"V",3,3.79001062792236,5.16227390385881
26,"V",4,2.72113410121778,4.88509996291519
27,"I",5,3.08625596939938,4.92169984718923
28,"-VII",6,4.16775816244847,4.86918947507926
29,"I",5,3.8508499777151,2.72195047793656
30,"I",5,3.65418147814141,4.58952253169444
31,"-VII",5,4.10996808243977,4.22297537063756
32,"I",5,2.06103542690613,3.69149387771064
33,"I",6,2.52680160131132,4.47367856924706
34,"-VII",7,2.87478992934554,4.86208303531456
35,"I",8,1.55879224787793,3.37347004239723
36,"I",9,2.71512599607025,4.59623135899886
37,"-VII",10,0.652249427985885,2.68671256832876
38,"I",10,0.531964608487724,1.97124606420091
39,"IV",10,5.59260975233657,3.31538190381137
40,"-III",4,4.09420448728734,4.95997541268105
41,"IV",5,4.56264280053254,4.25188548880299
42,"IV",4,4.10262207782502,4.22391460961417
43,"-III",4,5.07029432195341,4.83023413971758
44,"IV",4,4.66785018669585,4.76950467801634
45,"IV",3,3.81678807257533,4.61133823407806
46,"-III",4,5.07029432195341,4.83023413971758
47,"IV",4,4.66785018669585,4.76950467801634
48,"IV",3,3.81678807257533,4.61133823407806
49,"-III",4,5.07029432195341,4.83023413971758
50,"IV",4,4.66785018669585,4.76950467801634
51,"V",3,2.97249449973577,4.61133823407806
52,"V",4,4.05521518829404,5.00890090709129
53,"V",4,3.984895929708,4.98477073518089
54,"V",4,2.72113410121778,4.88509996291519
55,"r",5,3.06406092416242,4.92169984718923
56,"r",6,1.68632001375937,2.93205344145534
57,"I",6,1.77545340315757,3.23195005568066
58,"r",6,3.99986227732345,3.75294918407841
59,"I",5,1.98520868223987,3.04170727717707
60,"IV",5,4.20245634664212,3.60011440244069
61,"I",4,1.65818837969468,4.28128570878407
62,"I",5,2.58541128968843,4.16961317545498
63,"r",6,4.19747710671398,3.43336083027324
64,"I",5,1.97066305672787,3.31242273687828
65,"IV",6,2.01682704338694,3.90535556008162
66,"I",6,1.43819732220361,4.07205089360021
67,"I",6,1.60810300532942,3.75089470521539
68,"r",6,4.19747710671398,3.43336083027324
69,"I",5,1.97066305672787,3.31242273687828
70,"IV",6,2.01682704338694,3.90535556008162
71,"I",6,1.43819732220361,4.07205089360021
72,"I",6,1.60810300532942,3.75089470521539
