"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,5,"r",4,1.62797738457322,3.53358542389612,"r",4,1.62797738457322,3.53358542389612,
1,6,"i",5,3.42840661744197,3.45916472789612,"i",5,3.42840661744197,3.45916472789612,
1,7,"-VII",6,4.20197847941838,4.13445442021351,"-VII",6,4.20197847941838,4.13445442021351,
1,8,"-VI",6,2.19388256542663,3.73805071799997,"-VI",6,2.19388256542663,3.73805071799997,
1,9,"-VI",5,4.69831841156548,4.02649702576955,"-VI",5,4.69831841156548,4.02649702576955,
1,10,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
1,11,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
1,12,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
1,13,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
1,14,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
1,15,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
2,9,"-VI",5,4.69831841156548,4.02649702576955,"-VI",5,4.69831841156548,4.02649702576955,
2,10,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
2,11,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
2,12,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
2,13,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
2,14,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
2,15,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
2,16,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
2,17,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
2,18,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
2,19,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
3,13,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
3,14,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
3,15,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
3,16,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
3,17,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
3,18,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
3,19,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
3,20,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
3,21,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
3,22,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
3,23,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
4,17,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
4,18,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
4,19,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
4,20,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
4,21,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
4,22,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
4,23,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
4,24,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
4,25,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
4,26,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
4,27,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
5,21,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
5,22,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
5,23,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
5,24,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
5,25,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
5,26,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
5,27,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
5,28,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
5,29,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
5,30,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
5,31,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
6,25,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
6,26,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
6,27,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
6,28,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
6,29,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
6,30,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
6,31,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
6,32,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
6,33,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
6,34,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
6,35,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
7,29,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
7,30,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
7,31,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
7,32,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
7,33,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
7,34,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
7,35,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
7,36,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
7,37,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
7,38,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
7,39,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
8,33,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
8,34,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
8,35,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
8,36,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
8,37,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
8,38,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
8,39,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
8,40,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
8,41,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
8,42,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
8,43,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
9,37,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
9,38,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
9,39,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
9,40,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
9,41,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
9,42,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
9,43,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
9,44,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
9,45,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
9,46,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
9,47,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
10,41,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
10,42,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
10,43,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
10,44,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
10,45,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
10,46,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
10,47,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
10,48,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
10,49,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
10,50,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
10,51,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
11,45,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
11,46,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
11,47,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
11,48,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
11,49,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
11,50,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
11,51,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
11,52,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
11,53,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
11,54,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
11,55,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
12,49,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
12,50,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
12,51,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
12,52,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
12,53,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
12,54,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
12,55,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
12,56,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
12,57,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
12,58,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
12,59,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
13,53,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
13,54,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
13,55,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
13,56,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
13,57,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
13,58,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
13,59,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
13,60,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
13,61,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
13,62,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
13,63,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
14,57,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
14,58,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
14,59,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,3.35633268904774,4.62570415645006,
14,60,"-VI",4,0.928458227339536,3.35636844493758,"-VI",4,0.928458227339536,3.35636844493758,
14,61,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
14,62,"i",4,2.96037697699408,4.84513831859149,"-VII",4,2.95755909443139,4.84513831859149,0.00281788256269166
14,63,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,2.34711541037108,3.46024931600179,
14,64,"-VI",4,0.928458227339536,3.35636844493758,"-VI",5,3.34348882880042,4.66559968244174,
14,65,"-VI",4,5.36067176310463,2.73243643216277,"-VI",5,0.985797240043205,3.33995609210613,
14,66,"i",4,2.96037697699408,4.84513831859149,"i",5,4.31992581408464,3.98276367552384,
14,67,"-VII",5,3.35633268904774,4.62570415645006,"-VII",5,4.69630950129936,3.44572880480059,
,,,,,,,,,,
15,61,"-VI",4,5.36067176310463,2.73243643216277,"-VI",4,5.36067176310463,2.73243643216277,
15,62,"i",4,2.96037697699408,4.84513831859149,"i",4,2.96037697699408,4.84513831859149,
