"Comparison","Row","Orig_Symbol","Orig_Order","Orig_IC","Orig_Entropy","Swap_Symbol","Swap_Order","Swap_IC","Swap_Entropy","Distance"
1,39,"-VII",4,5.92698743393569,4.8971190591115,"-VII",4,5.92698743393569,4.8971190591115,
1,40,"VI",3,5.2775090926263,4.48583633399354,"VI",3,5.2775090926263,4.48583633399354,
1,41,"ii",3,2.41067097592467,4.50668922948713,"ii",3,2.41067097592467,4.50668922948713,
1,42,"I",4,4.85272753441466,4.92114164885941,"I",4,4.85272753441466,4.92114164885941,
1,43,"IV",3,4.9300317385099,4.95003643750613,"IV",3,4.9300317385099,4.95003643750613,
1,44,"-VII",3,4.79533448617391,5.23456361372354,"-III",3,4.79261930945829,5.23456361372354,0.00271517671562282
1,45,"IV",4,4.15272445421494,4.8289846584739,"IV",4,4.20850182223138,4.11524761629188,
1,46,"I",4,3.14655754054119,4.94928347878048,"I",4,4.12497792160665,4.23482004181431,
1,47,"-VII",5,5.12422226746373,4.41868136010671,"-VII",4,5.01516935776066,4.87921581216388,
1,48,"IV",4,2.2753443071993,4.36124341435936,"IV",4,3.44092401236328,4.27921028602843,
1,49,"I",5,2.79170948557561,4.86462772280951,"I",4,3.01526168114009,4.97219269490092,
,,,,,,,,,,
2,75,"-VII",4,5.92698743393569,4.8971190591115,"-VII",4,5.92698743393569,4.8971190591115,
2,76,"VI",3,5.2775090926263,4.48583633399354,"VI",3,5.2775090926263,4.48583633399354,
2,77,"ii",3,2.41067097592467,4.50668922948713,"ii",3,2.41067097592467,4.50668922948713,
2,78,"I",4,4.85272753441466,4.92114164885941,"I",4,4.85272753441466,4.92114164885941,
2,79,"IV",3,4.9300317385099,4.95003643750613,"IV",3,4.9300317385099,4.95003643750613,
2,80,"-VII",3,4.79533448617391,5.23456361372354,"-III",3,4.79261930945829,5.23456361372354,0.00271517671562282
2,81,"IV",4,4.15272445421494,4.8289846584739,"IV",4,4.20850182223138,4.11524761629188,
2,82,"I",4,3.14655754054119,4.94928347878048,"I",4,4.12497792160665,4.23482004181431,
2,83,"-VII",5,5.12422226746373,4.41868136010671,"-VII",4,5.01516935776066,4.87921581216388,
2,84,"IV",4,2.2753443071993,4.36124341435936,"IV",4,3.44092401236328,4.27921028602843,
2,85,"I",5,2.79170948557561,4.86462772280951,"I",4,3.01526168114009,4.97219269490092,
,,,,,,,,,,
3,129,"-VII",4,5.92698743393569,4.8971190591115,"-VII",4,5.92698743393569,4.8971190591115,
3,130,"VI",3,5.2775090926263,4.48583633399354,"VI",3,5.2775090926263,4.48583633399354,
3,131,"ii",3,2.41067097592467,4.50668922948713,"ii",3,2.41067097592467,4.50668922948713,
3,132,"I",4,4.85272753441466,4.92114164885941,"I",4,4.85272753441466,4.92114164885941,
3,133,"IV",3,4.9300317385099,4.95003643750613,"IV",3,4.9300317385099,4.95003643750613,
3,134,"-VII",3,4.79533448617391,5.23456361372354,"-III",3,4.79261930945829,5.23456361372354,0.00271517671562282
3,135,"IV",4,4.15272445421494,4.8289846584739,"IV",4,4.20850182223138,4.11524761629188,
3,136,"I",4,3.14655754054119,4.94928347878048,"I",4,4.12497792160665,4.23482004181431,
3,137,"-VII",5,5.12422226746373,4.41868136010671,"-VII",4,5.01516935776066,4.87921581216388,
3,138,"IV",4,2.2753443071993,4.36124341435936,"IV",4,3.44092401236328,4.27921028602843,
3,139,"I",5,2.79170948557561,4.86462772280951,"I",4,3.01526168114009,4.97219269490092,
,,,,,,,,,,
4,95,"-VII",10,3.46403652510758,5.01622007477714,"-VII",10,3.46403652510758,5.01622007477714,
4,96,"IV",4,4.25650682830784,4.7535880765422,"IV",4,4.25650682830784,4.7535880765422,
4,97,"I",4,4.24893329188922,4.63207676011611,"I",4,4.24893329188922,4.63207676011611,
4,98,"-VII",4,3.28660468015633,5.05744504692433,"-VII",4,3.28660468015633,5.05744504692433,
4,99,"IV",5,1.49960846121625,3.89141347942528,"IV",5,1.49960846121625,3.89141347942528,
4,100,"i",6,4.71180527952558,4.60495038523719,"ii",6,4.69519581873925,4.60495038523719,0.0166094607863307
4,101,"-VII",6,3.38164373063639,5.14966728449329,"-VII",5,6.43649988620953,3.54757470922581,
4,102,"IV",4,4.25650682830784,4.7535880765422,"IV",3,2.96811694398978,4.92687467949077,
4,103,"i",4,4.88608807937589,4.63207676011611,"i",4,5.6058002889063,4.52349962178463,
4,104,"-VII",4,3.75332871807733,4.46833569159896,"-VII",3,3.54197697021575,4.87632833409794,
4,105,"IV",4,4.25650682830784,4.7535880765422,"IV",4,4.25650682830784,4.7535880765422,
,,,,,,,,,,
5,95,"-VII",10,3.46403652510758,5.01622007477714,"-VII",10,3.46403652510758,5.01622007477714,
5,96,"IV",4,4.25650682830784,4.7535880765422,"IV",4,4.25650682830784,4.7535880765422,
5,97,"I",4,4.24893329188922,4.63207676011611,"I",4,4.24893329188922,4.63207676011611,
5,98,"-VII",4,3.28660468015633,5.05744504692433,"-VII",4,3.28660468015633,5.05744504692433,
5,99,"IV",5,1.49960846121625,3.89141347942528,"IV",5,1.49960846121625,3.89141347942528,
5,100,"i",6,4.71180527952558,4.60495038523719,"v",6,4.74032205158465,4.60495038523719,0.0285167720590618
5,101,"-VII",6,3.38164373063639,5.14966728449329,"-VII",5,7.05097839012002,2.70256381538383,
5,102,"IV",4,4.25650682830784,4.7535880765422,"IV",2,4.41870853444594,5.33568601547945,
5,103,"i",4,4.88608807937589,4.63207676011611,"i",3,5.35204185305715,5.02769830275646,
5,104,"-VII",4,3.75332871807733,4.46833569159896,"-VII",3,3.54197697021575,4.87632833409794,
5,105,"IV",4,4.25650682830784,4.7535880765422,"IV",4,4.25650682830784,4.7535880765422,
,,,,,,,,,,
6,39,"-VII",4,5.92698743393569,4.8971190591115,"-VII",4,5.92698743393569,4.8971190591115,
