"Row","Symbol","Order","Information_content","Entropy"
1,"r",0,2.53085509538171,5.47634857876957
2,"I",1,1.74874698550192,4.0470645566471
3,"IV",2,3.60816957290947,4.79707845245013
4,"I",3,1.9015572519795,4.57932515337133
5,"I",4,3.01313750994169,4.60969252881696
6,"I",5,2.47440087651187,4.46626852740343
7,"I",6,3.52996676341554,4.7829685533579
8,"I",6,3.10680213781947,5.06099377686913
9,"IV",7,3.80448381507098,4.95603829260937
10,"IV",8,2.98663077776403,4.86019784574987
11,"I",9,3.0178533402812,4.45272542768717
12,"I",9,0.954703621849173,3.0583441395387
13,"I",10,3.70323614840147,4.71059705377826
14,"I",10,1.3444179984581,3.93122898441062
15,"I",10,1.58064899296645,4.00938745806082
16,"I",10,1.09683389162905,3.70991780509321
17,"vi",10,4.87464528793906,4.35531535184621
18,"V",8,3.82501849250998,3.81173580675982
19,"I",6,5.29913386664258,1.64612733123113
20,"I",5,2.46123517715393,4.49128153918267
21,"I",6,2.93489443992683,4.29630549439801
22,"I",6,3.07245923312666,4.66521763353543
23,"I",6,3.3195940406378,4.84823897933623
24,"I",6,2.79993752002209,5.03015685933051
25,"IV",7,3.76002678343166,5.01348096425618
26,"IV",8,2.8789212340412,4.70946815912352
27,"I",9,2.45717503725679,4.59429415897119
28,"I",10,0.374346305246625,1.79555071527567
29,"I",10,3.05964172782984,3.90773505981161
30,"I",10,1.3444179984581,3.93122898441062
31,"I",10,1.58064899296645,4.00938745806082
32,"I",10,1.09683389162905,3.70991780509321
33,"vi",10,4.87464528793906,4.35531535184621
34,"V",8,3.82501849250998,3.81173580675982
35,"I",6,5.29913386664258,1.64612733123113
36,"I",5,2.46123517715393,4.49128153918267
37,"I",6,2.93489443992683,4.29630549439801
38,"IV",6,2.17978241052663,4.66521763353543
39,"I",6,1.94036812342106,4.52269139504792
40,"I",7,1.67061862103203,4.21798894760406
41,"I",8,1.91325300301693,4.50468060009576
42,"IV",9,2.15451251851412,3.4749013342974
43,"I",9,1.74925575757553,4.21050853205497
44,"I",10,0.93254547838114,3.21093127279322
45,"I",10,1.256863947475,3.40179487589608
46,"IV",10,0.502819874705814,2.12204257840543
47,"I",10,0.649045946775472,2.65808922080651
48,"I",10,0.497774823554064,2.22722504585906
49,"I",10,1.256863947475,3.40179487589608
50,"IV",10,0.502819874705814,2.12204257840543
51,"I",10,0.649045946775472,2.65808922080651
52,"I",10,0.497774823554064,2.22722504585906
53,"I",10,1.256863947475,3.40179487589608
54,"IV",10,0.502819874705814,2.12204257840543
55,"I",10,0.649045946775472,2.65808922080651
56,"I",10,0.497774823554064,2.22722504585906
57,"I",10,1.256863947475,3.40179487589608
58,"IV",10,0.502819874705814,2.12204257840543
59,"I",10,0.649045946775472,2.65808922080651
60,"I",10,0.497774823554064,2.22722504585906
61,"I",10,1.256863947475,3.40179487589608
62,"IV",10,0.502819874705814,2.12204257840543
63,"I",10,0.649045946775472,2.65808922080651
64,"I",10,0.497774823554064,2.22722504585906
65,"I",10,1.256863947475,3.40179487589608
66,"IV",10,0.502819874705814,2.12204257840543
67,"I",10,0.649045946775472,2.65808922080651
68,"I",10,0.497774823554064,2.22722504585906
69,"I",10,1.256863947475,3.40179487589608
70,"V",10,4.27473605157245,2.12204257840543
71,"IV",10,4.20803056337411,4.02487767848625
72,"I",6,2.34420367030256,4.34361827423767
73,"V",7,3.36246968588403,4.22696689088826
74,"I",7,2.8576638961067,3.93117905534904
75,"V",7,3.68900578970177,4.68348739628324
76,"IV",6,3.95077552396383,3.93318526781507
77,"I",6,3.57983121814417,4.46545374972914
78,"V",6,2.91056776051126,4.68011079307444
79,"I",7,1.53920527794912,3.690447654932
80,"V",8,1.98210139068577,4.322124206058
81,"IV",6,3.95077552396383,3.93318526781507
82,"I",6,3.57983121814417,4.46545374972914
83,"V",6,2.91056776051126,4.68011079307444
84,"I",7,1.53920527794912,3.690447654932
85,"V",8,1.98210139068577,4.322124206058
86,"IV",6,3.95077552396383,3.93318526781507
87,"I",6,3.57983121814417,4.46545374972914
88,"V",6,2.91056776051126,4.68011079307444
89,"r",7,3.83108320574222,3.690447654932
90,"r",5,1.46526894771793,3.36995268303727
